Nama Hotel,Rating,Alamat,Nomor Telepon,Single,Double
Alila Solo,4.7,"Jl. Slamet Riyadi No. 562, Solo",+62 271 6770888,350000,800000
The Royal Surakarta Heritage,4.6,"Jl. Slamet Riyadi No. 6, Solo",+62 271 666111,400000,900000
Ibis Styles Solo,4.6,"Jl. Gajah Mada No. 23, Solo",+62 271 733888,300000,700000
Aston Solo Hotel,4.7,"Jl. Slamet Riyadi No. 373, Solo",+62 271 7882000,450000,950000
Swiss-Belinn Saripetojo,4.5,"Jl. Slamet Riyadi No. 437, Solo",+62 271 7670001,320000,750000
Swiss-Belhotel Solo,4.8,"Jl. A. Yani No.45, Surakarta",+62 271 630063,380000,880000
The Sunan Hotel Solo,4.5,"Jl. Ahmad Yani No. 40, Solo",+62 271 731312,340000,840000
Novotel Solo,4.6,"Jl. Slamet Riyadi No. 272, Solo",+62 271 724555,360000,860000
Hotel Syariah Solo,4.5,"Jl. Adi Sucipto No. 47, Kartasura",+62 271 724500,330000,830000
Solo Paragon Hotel & Residence,4.6,"Jl. Dr. Soetomo, Solo",+62 271 7655888,410000,910000
Solia Yosodipuro,4.4,"Jl. Yosodipuro No. 31-33, Banjarsari, Solo",+62 271 2933999,290000,690000
Solia Zigna Kampung Batik,4.7,"Jl. Dr. Rajiman No.525, Surakarta",+62 271 7470000,370000,870000
Lorin Solo Hotel,4.4,"Jl. Adi Sucipto 47, Solo",+62 271 724500,310000,710000
The alana Hotel,4.7,"Jl. Adi Sucipto, Colomadu, Karanganyar",+62 271 7451555,420000,920000
Hotel Amaris Sriwedari,4.3,"Jl. Kebangkitan Nasional No.24, Surakarta",+62 271 7461627,280000,680000
Favehotel Solo Baru,4.6,"Jl. Ir. Soekarno, Kabupaten Sukoharjo",+62 271 6727555,300000,800000
Aziza Hotel Solo by Horison,4.5,"Jl. Kapten Mulyadi 115, Solo",+62 271 666600,350000,750000
Lampion Hotel Solo,4.2,"Jl. Dr. Rajiman No.289",+62 271 7654888,220000,620000
Sala View Hotel,4.4,"Jl. Slamet Riyadi No.450",+62 271 718388,330000,830000
Red Chilies Hotel,4.2,"Jl. A. Yani No.286, Manahan",+62 271 7462247,240000,640000
Hotel Grand Sahman,4.2,"Jl. Prof. DR. Supomo nomer No.25, Surakarta",+62 21 29707601,250000,650000
Hotel Laksana Solo,4.1,"Jl. Teratai II No.11, Mangkubumen, Surakarta",+62 271 735566,260000,660000
Zest Hotel Parangraja Solo,4.6,"Jl. Adi Sucipto No.28, Manahan, Surakarta",+62 271 7788333,310000,810000
Hotel Loji,4.2,"Jl. Hasanudin No.134, Punggawan, Surakarta",+62 271 7892121,270000,670000
POP! Hotel Solo,4.5,"Jl. Slamet Riyadi No.464, Surakarta",+62 271 3009999,330000,830000
Hotel Neo Gading Solo,4.6,"Jl. Kyai Mojo No.02, Surakarta",+62 271 2939383,320000,820000
Hotel Bintang Solo,3.9,"Jl. Ir. Sutami No.104, Surakarta",+62 271 648737,200000,400000
Sahid Jaya Solo,4.3,"Jl. Gajahmada No.82, Surakarta",+62 812 4969 9929,370000,870000
Kusuma Sahid Prince Hotel,4.3,"Jl. Sugiyopranoto No.20, Surakarta",+62 271 646356,360000,860000
MAHALAYA: The Legacy Hotel,4.7,"Jl. Letjen S. Parman No.32, Surakarta",+62 271 2934888,450000,950000
JW Naungan Co-Living & Villas,4.5,"Jl. Punggawan No.6, Surakarta",+62 819 4747 0888,390000,890000
Monoloog Hotel Solo,4.4,"Jl. Prof. DR. Supomo No.49, Surakarta",+62 271 7889333,280000,680000
Grand Laguna Hotel And Villa,4.4,"Jl. Adi Sucipto No.101, Surakarta",+62 271 7892488,310000,710000
Amarelo Hotel Solo,4.3,"Jl. Gatot Subroto No.89-103, Surakarta",+62 271 669999,340000,740000
Megaland Hotel Solo,4.4,"Jl. Slamet Riyadi No.351, Surakarta",+62 271 725252,370000,870000
Hotel Indah Palace Solo,4.5,"Jalan Veteran No.284 Serengan, Surakarta",+62 271 711011,360000,860000
Pose In Hotel Solo,4.1,"Jl. Walter Monginsidi No.125, Surakarta",+62 271 666199,250000,650000
Assalaam Syariah Hotel Solo,4.3,"Jalan Garuda Mas, Kartasura",+62 271 740212,270000,670000
Malioboro Inn Solo,4.1,"Jl. Dr. Rajiman No.515, Surakarta",+62 271 732999,230000,630000
Grand Sae Boutique Hotel,3.8,"Jl. Samratulangi No.18, Surakarta",+62 271 734545,210000,610000
Griya Surya Hotel,4.1,"Jl. Ir. Soekarno No.20, Surakarta",+62 271 622859,240000,640000
Hotel Grand Orchid Solo,4.1,"Jl. Gajahmada No.29, Surakarta",+62 271 731888,250000,650000
HARRIS Hotel & Convention Solo,4.6,"Jl. Slamet Riyadi No.464, Surakarta",+62 271 3009999,420000,920000
Hotel Dana Solo,4.4,"Jl. Slamet Riyadi No.286, Surakarta",+62 271 711976,310000,810000
Hotel Diamond Surakarta,4.4,"Jl. Slamet Riyadi No.392, Surakarta",+62 271 733888,300000,800000
